4.49948    13.8509
4.49528    13.7796
4.4869    13.6376
4.47433    13.4264
4.4576    13.1481
4.43671    12.8055
4.4117    12.4018
4.38257    11.9411
4.34937    11.4279
4.31212    10.867
4.27086    10.2638
4.22564    9.62409
4.17649    8.95368
4.12346    8.25875
4.06662    7.54555
4.006    6.8204
3.94168    6.08959
3.87372    5.35931
3.80218    4.6356
3.72714    3.92428
3.64866    3.23089
3.56683    2.56067
3.48173    1.91847
3.39343    1.30874
3.30204    0.735504
3.20763    0.20231
3.1103    -0.287764
3.01015    -0.73213
2.90728    -1.12869
2.80179    -1.47583
2.69377    -1.77243
2.58335    -2.01783
2.47062    -2.21184
2.3557    -2.35466
2.2387    -2.44692
2.11974    -2.48961
1.99894    -2.48408
1.8764    -2.43196
1.75227    -2.33517
1.62665    -2.19586
1.49967    -2.01639
1.37146    -1.79928
1.24214    -1.54717
1.11185    -1.26283
0.980699    -0.949067
0.84883    -0.608736
0.716371    -0.244702
0.583451    0.140188
0.450202    0.543129
0.316756    0.961375
0.183244    1.39226
0.0497978    1.83322
-0.0834508    2.2818
-0.216371    2.73566
-0.34883    3.19258
-0.480699    3.65052
-0.611846    4.10753
-0.742143    4.56185
-0.87146    5.01183
-0.999672    5.45599
-1.12665    5.893
-1.25227    6.32165
-1.3764    6.74088
-1.49894    7.14976
-1.61974    7.54751
-1.7387    7.93344
-1.8557    8.30699
-1.97062    8.6677
-2.08335    9.01523
-2.19377    9.34931
-2.30179    9.66977
-2.40728    9.97651
-2.51015    10.2695
-2.6103    10.5488
-2.70763    10.8145
-2.80204    11.0666
-2.89343    11.3055
-2.98173    11.5313
-3.06683    11.7443
-3.14866    11.9448
-3.22714    12.1329
-3.30218    12.3091
-3.37372    12.4737
-3.44168    12.6269
-3.506    12.7692
-3.56662    12.9007
-3.62346    13.0219
-3.67649    13.133
-3.72564    13.2344
-3.77086    13.3262
-3.81212    13.4088
-3.84937    13.4824
-3.88257    13.5473
-3.9117    13.6036
-3.93671    13.6515
-3.9576    13.6911
-3.97433    13.7227
-3.9869    13.7463
-3.99528    13.762
-3.99948    13.7698
